P++5x5,1,2,3,4,5
1,0.7539,,,,
2,0.4873,,,,
3,0.5233,0.8051,,,
4,0.496,0.4769,,,
5,0.6766,0.7348,,,
6,,0.6613,,,
7,,0.4816,0.529,,
8,,,0.4775,,
9,,,0.5092,0.4782,
10,,,0.5279,0.5397,
11,,,0.6541,0.5433,0.6265
12,,,,,0.5333
13,,,,,0.507
14,,,,,0.502
15,,,,,0.6628
