Name ,"('Bagni_Nerone_2.5%', 'xyz')","('Bagni_Nerone_5%', 'xyz')","('Bagni_Nerone_25%', 'xyz')","('Bagni_Nerone_50%', 'xyz')","('Church_2.5%', 'xyz')","('Church_5%', 'xyz')","('Church_25%', 'xyz')","('Church_50%', 'xyz')","('Lunnahoja_2.5%', 'xyz')","('Lunnahoja_5%', 'xyz')","('Lunnahoja_25%', 'xyz')","('Lunnahoja_50%', 'xyz')","('Monument_2.5%', 'xyz')","('Monument_5%', 'xyz')","('Monument_25%', 'xyz')","('Monument_50%', 'xyz')","('Montelupo_2.5%', 'xyz')","('Montelupo_5%', 'xyz')","('Montelupo_25%', 'xyz')","('Montelupo_50%', 'xyz')","('Piazza_2.5%', 'xyz')","('Piazza_5%', 'xyz')","('Piazza_25%', 'xyz')","('Piazza_50%', 'xyz')"
resume,/home/eco02/Luc/point-transformer/exp/Bagni_Nerone_2.5%/xyz/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Bagni_Nerone_5%/xyz/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Bagni_Nerone_25%/xyz/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Bagni_Nerone_50%/xyz/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Church_2.5%/xyz/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Church_5%/xyz/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Church_25%/xyz/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Church_50%/xyz/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Lunnahoja_2.5%/xyz/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Lunnahoja_5%/xyz/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Lunnahoja_25%/xyz/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Lunnahoja_50%/xyz/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Monument_2.5%/xyz/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Monument_5%/xyz/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Monument_25%/xyz/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Monument_50%/xyz/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Montelupo_2.5%/xyz/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Montelupo_5%/xyz/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Montelupo_25%/xyz/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Montelupo_50%/xyz/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Piazza_2.5%/xyz/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Piazza_5%/xyz/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Piazza_25%/xyz/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Piazza_50%/xyz/model/model_best_train.pth
mIoU_val.max,0.3653,0.1335,0.1445,0.1445,0.4764,0.374,0.06426,0.03046,0.3313,0.3997,0.3292,0.335,0.351,0.3988,0.5,0.5,0.4649,0.4868,0.3441,0.6927,0.5105,0.3391,0.5137,0.002941
mIoU_train.max,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mAcc_val.max,0.5591,0.4619,0.5,0.5,0.8068,0.5878,0.5442,0.5112,0.4945,0.5446,0.4914,0.5,0.351,0.3988,0.5,0.5,0.6345,0.6737,0.541,0.8191,0.5314,0.5072,0.5362,0.5
mAcc_train.max,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
allAcc_val.max,0.5497,0.267,0.289,0.289,0.8195,0.6993,0.1219,0.05922,0.6626,0.6688,0.6585,0.67,0.7021,0.7976,1.,1.,0.6352,0.6826,0.5332,0.8238,0.988,0.6728,0.9886,0.005882
allAcc_train.max,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"('Bagni_Nerone_2.5%', 'xyz')","('Bagni_Nerone_5%', 'xyz')","('Bagni_Nerone_25%', 'xyz')","('Bagni_Nerone_50%', 'xyz')","('Church_2.5%', 'xyz')","('Church_5%', 'xyz')","('Church_25%', 'xyz')","('Church_50%', 'xyz')","('Lunnahoja_2.5%', 'xyz')","('Lunnahoja_5%', 'xyz')","('Lunnahoja_25%', 'xyz')","('Lunnahoja_50%', 'xyz')","('Monument_2.5%', 'xyz')","('Monument_5%', 'xyz')","('Monument_25%', 'xyz')","('Monument_50%', 'xyz')","('Montelupo_2.5%', 'xyz')","('Montelupo_5%', 'xyz')","('Montelupo_25%', 'xyz')","('Montelupo_50%', 'xyz')","('Piazza_2.5%', 'xyz')","('Piazza_5%', 'xyz')","('Piazza_25%', 'xyz')","('Piazza_50%', 'xyz')"
/home/eco02/Luc/point-transformer/exp/Bagni_Nerone_2.5%/xyz/model_pretrained/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Bagni_Nerone_5%/xyz/model_pretrained/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Bagni_Nerone_25%/xyz/model_pretrained/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Bagni_Nerone_50%/xyz/model_pretrained/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Church_2.5%/xyz/model_pretrained/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Church_5%/xyz/model_pretrained/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Church_25%/xyz/model_pretrained/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Church_50%/xyz/model_pretrained/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Lunnahoja_2.5%/xyz/model_pretrained/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Lunnahoja_5%/xyz/model_pretrained/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Lunnahoja_25%/xyz/model_pretrained/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Lunnahoja_50%/xyz/model_pretrained/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Monument_2.5%/xyz/model_pretrained/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Monument_5%/xyz/model_pretrained/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Monument_25%/xyz/model_pretrained/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Monument_50%/xyz/model_pretrained/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Montelupo_2.5%/xyz/model_pretrained/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Montelupo_5%/xyz/model_pretrained/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Montelupo_25%/xyz/model_pretrained/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Montelupo_50%/xyz/model_pretrained/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Piazza_2.5%/xyz/model_pretrained/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Piazza_5%/xyz/model_pretrained/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Piazza_25%/xyz/model_pretrained/model/model_best_train.pth,/home/eco02/Luc/point-transformer/exp/Piazza_50%/xyz/model_pretrained/model/model_best_train.pth
0.3887,0.6027,0.1445,0.1445,0.7119,0.8396,0.7439,0.4685,0.3069,0.348,0.335,0.335,0.1153,0.3202,0.5,0.5,0.5669,0.7184,0.3052,0.718,0.5243,0.5889,0.4971,0.002941
